position;type;identity;sno;counts;ratio;around;deviation;ratio2;around2;cumul;mean;scoreA2;scoreB2;scoreC2
1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;NA;NA;NA;420;420;NA;NA;0,002380952;NA;NA;NA;NA;NA;NA
3;NA;NA;NA;218;0,519047619;NA;NA;1,926605505;NA;NA;NA;-0,346265902;0,029319875;-0,030348259
4;NA;NA;NA;150;0,688073394;0,996751816;NA;1,453333333;0,095043676;0,868797161;0,868797161;0,155194184;1,073893343;0,51947395
5;NA;NA;NA;259;1,726666667;0,338487732;NA;0,579150579;0,740842506;0,530985393;0,530985393;-0,152626178;0,595748988;0,37423703
6;NA;NA;NA;368;1,420849421;0,471935225;NA;0,703804348;0,723483055;0,666362442;0,666362442;-0,34393086;0,193196406;0,162283592
7;NA;NA;NA;954;2,592391304;-0,248748809;1,322807292;0,385744235;0,860789658;-0,37820044;-0,37820044;-0,63016983;0,679140259;-2,123556781
8;NA;NA;NA;357;0,374213836;0,870840582;-0,186169015;2,672268908;-0,50765207;0,640599212;0,640599212;-0,213310307;0,284254631;0,221820685
9;NA;NA;NA;225;0,630252101;0,737666852;0,189864889;1,586666667;0,410357841;0,743685243;0,743685243;-0,067984429;0,908011178;0,477000245
10;NA;NA;NA;259;1,151111111;0,081437414;0,882901725;0,868725869;0,749703634;0,22608048;0,22608048;-0,215702404;0,13097166;-0,15138044
11;NA;NA;NA;178;0,687258687;0,624247471;0,499210851;1,45505618;0,370723546;0,472724503;0,472724503;0,004315204;0,100999706;0,092202389
12;NA;NA;NA;145;0,814606742;0,716391914;0,424261148;1,227586207;0,321201535;0,695548635;0,695548635;-0,065141989;0,73594088;0,42562285
13;NA;NA;NA;154;1,062068966;0,54892288;0,575191768;0,941558442;0,674705356;0,715703702;0,715703702;-0,129009042;0,511205433;0,339726955
14;NA;NA;NA;438;2,844155844;-0,787043249;2,670223809;0,351598174;0,882484524;-0,92383485;-0,92383485;-0,502648811;0,650941134;-1,877095938
15;NA;NA;NA;159;0,363013699;0,908900637;0,227823998;2,754716981;-1,060626452;0,67198953;0,67198953;-0,282871786;0,894078947;0,473601673
16;NA;NA;NA;150;0,943396226;0,799182237;0,217069775;1,06;0,435078422;0,827421484;0,827421484;0,099796721;3,038689439;0,753630705
17;NA;NA;NA;468;3,12;0,189902911;0,871278225;0,320512821;0,855660731;0,557974875;0,557974875;-0,02528859;2,385703064;0,705084408
18;NA;NA;NA;1436;3,068376068;0,18519804;0,807908836;0,325905292;0,926046839;0,57424229;0,57424229;-0,831603527;0,096729297;0,088253968
19;NA;NA;NA;4779;3,327994429;-0,032738323;1,031110011;0,300481272;0,963286539;-0,25442133;-0,25442133;-0,93695566;0,856793658;-5,991683992
20;NA;NA;NA;670;0,140196694;0,96793143;-0,262398178;7,132835821;-0,476104338;0,032333791;0,032333791;-0,252241276;1,474625461;0,596257533
21;NA;NA;NA;78;0,11641791;0,964574365;0,056136001;8,58974359;-0,903263848;0,956337518;0,956337518;0,351836161;16,60726183;0,94388383
22;NA;NA;NA;174;2,230769231;-0,244805419;1,267041194;0,448275862;0,948100671;0,264648306;0,264648306;-0,399255744;0,763157895;0,434243176
23;NA;NA;NA;152;0,873563218;0,720528482;0,314969969;1,144736842;0,774102031;0,759370527;0,759370527;0,128974352;0,905572755;0,47685898
